customer_id,age,gender,signup_channel,membership_tier,monthly_visits,avg_discount_rate,online_ad_cost,offline_ad_cost,total_ad_cost,campaign_group,responded,monthly_spend
53,49,Male,Organic Search,Gold,10,0.108,12.33,17.4,29.73,control,0,22.0
54,40,Male,Referral,Silver,7,0.238,19.41,7.68,27.09,treatment,0,35.01
55,60,Female,Organic Search,Basic,6,0.194,12.47,2.17,14.64,control,0,28.1
56,41,Male,Referral,Silver,16,0.27,22.89,11.27,34.16,control,0,50.18
57,41,Female,Social Ads,Basic,5,0.198,35.75,9.99,45.74,treatment,0,28.38
58,48,Female,Referral,Basic,5,0.28,6.22,20.56,26.78,treatment,0,91.92
59,35,Female,Influencer,Silver,6,0.078,7.7,0.75,8.45,control,1,56.53
60,35,Female,Referral,Gold,12,0.332,18.47,8.14,26.61,treatment,0,42.3
61,43,Female,Organic Search,Silver,13,0.101,3.23,15.03,18.26,control,0,48.54
62,46,Female,Organic Search,Gold,16,0.151,10.25,4.35,14.6,treatment,0,41.05
63,36,Male,Organic Search,Gold,18,0.067,24.24,3.58,27.82,control,0,25.17
64,31,Female,Social Ads,Basic,8,0.132,14.56,0.99,15.55,treatment,0,22.32
65,52,Male,Organic Search,Gold,13,0.084,12.62,0.56,13.18,treatment,1,37.65
66,34,Male,Influencer,Basic,4,0.282,11.99,10.03,22.02,treatment,0,35.31
67,47,Female,Organic Search,Basic,7,0.219,26.17,3.47,29.64,treatment,0,75.81
68,36,Female,Organic Search,Gold,10,0.339,8.5,10.42,18.92,treatment,1,32.84
69,49,Female,Organic Search,Basic,4,0.318,10.28,1.47,11.75,treatment,0,91.78
70,35,Male,Organic Search,Silver,15,0.095,28.22,1.63,29.85,treatment,0,26.32
71,33,Female,Referral,Basic,5,0.296,16.66,19.18,35.84,treatment,0,33.03
72,52,Female,Organic Search,Silver,11,0.157,9.62,0.28,9.9,control,1,17.21
73,33,Female,Social Ads,Basic,5,0.158,6.73,7.98,14.71,control,0,20.32
74,50,Female,Organic Search,Gold,15,0.255,5.53,6.78,12.31,control,1,24.65
75,43,Male,Social Ads,Silver,7,0.068,4.44,2.74,7.18,treatment,0,28.93
76,18,Male,Referral,Silver,13,0.098,33.87,20.48,54.35,treatment,1,35.19
77,28,Male,Organic Search,Gold,9,0.141,7.98,8.48,16.46,treatment,0,64.54
78,44,Male,Referral,Silver,12,0.015,7.43,2.52,9.95,treatment,0,50.85
79,41,Female,Referral,Silver,10,0.215,2.02,0.25,2.27,control,0,15.88
80,54,Female,Influencer,Basic,7,0.042,6.93,2.48,9.41,control,0,45.99
81,40,Female,Social Ads,Silver,7,0.281,23.21,0.7,23.91,treatment,0,35.76
82,27,Male,Influencer,Silver,10,0.095,2.44,7.85,10.29,control,0,26.85
83,50,Female,Organic Search,Silver,9,0.348,10.61,11.27,21.88,treatment,0,35.43
84,24,Female,Referral,Basic,2,0.019,16.28,11.08,27.36,control,0,15.19
85,44,Male,Referral,Basic,6,0.112,12.17,11.51,23.68,treatment,0,21.11
86,49,Male,Organic Search,Basic,2,0.2,5.35,1.94,7.29,treatment,0,22.66
87,56,Female,Referral,Basic,11,0.101,16.09,10.6,26.69,control,0,43.12
88,21,Female,Influencer,Silver,10,0.219,8.6,5.36,13.96,treatment,1,32.14
89,45,Female,Organic Search,Basic,8,0.092,14.77,4.6,19.37,treatment,0,85.15
90,44,Female,Referral,Silver,9,0.239,24.26,1.06,25.32,control,0,65.33
91,32,Male,Social Ads,Basic,9,0.194,1.36,3.35,4.71,treatment,0,19.17
92,38,Female,Referral,Basic,1,0.224,12.41,11.91,24.32,treatment,0,26.03
93,63,Female,Social Ads,Gold,13,0.255,11.91,5.51,17.42,treatment,1,57.82
94,60,Female,Social Ads,Silver,7,0.014,11.47,20.9,32.37,treatment,0,29.15
95,57,Female,Influencer,Silver,6,0.039,8.4,12.16,20.56,treatment,0,42.66
96,28,Male,Organic Search,Silver,6,0.082,9.75,2.51,12.26,treatment,0,18.33
97,54,Female,Social Ads,Basic,2,0.117,25.51,4.97,30.48,treatment,0,20.38
98,31,Male,Referral,Basic,5,0.127,3.56,11.37,14.93,control,0,26.43
99,53,Male,Organic Search,Basic,4,0.141,18.74,1.14,19.88,treatment,0,42.88
100,29,Male,Influencer,Silver,5,0.007,2.32,2.7,5.02,control,0,37.7
101,40,Male,Influencer,Basic,5,0.134,26.95,3.56,30.51,control,0,36.51
102,30,Male,Organic Search,Basic,4,0.096,8.44,0.09,8.53,treatment,0,19.34
103,48,Male,Social Ads,Silver,6,0.082,3.53,16.92,20.45,treatment,0,21.73
104,67,Male,Referral,Silver,7,0.033,1.5,5.22,6.72,control,0,21.71
105,55,Male,Influencer,Basic,14,0.137,15.25,8.23,23.48,control,0,24.62
106,52,Female,Organic Search,Basic,3,0.052,39.64,12.06,51.7,control,0,39.96
107,40,Male,Organic Search,Basic,4,0.068,10.72,1.28,12.0,treatment,0,29.97
108,40,Male,Influencer,Gold,14,0.105,17.8,5.5,23.3,treatment,0,70.19
109,44,Male,Social Ads,Gold,12,0.039,12.41,6.28,18.69,treatment,1,20.88
110,47,Female,Organic Search,Silver,11,0.203,23.85,6.16,30.01,control,0,21.28
111,43,Female,Organic Search,Gold,10,0.238,21.8,0.32,22.12,control,1,34.06
112,43,Female,Organic Search,Basic,7,0.062,3.28,19.58,22.86,treatment,1,14.93
113,50,Male,Referral,Basic,6,0.305,17.52,0.65,18.17,treatment,1,63.94
114,47,Male,Organic Search,Basic,20,0.149,8.9,7.15,16.05,treatment,1,26.46
115,59,Female,Influencer,Basic,5,0.095,20.46,2.19,22.65,treatment,0,72.03
116,38,Male,Social Ads,Basic,14,0.174,10.69,2.13,12.82,treatment,1,36.71
117,18,Female,Social Ads,Basic,14,0.311,18.93,0.82,19.75,treatment,0,32.28
118,44,Male,Influencer,Basic,2,0.171,11.35,1.5,12.85,control,0,32.17
119,50,Female,Organic Search,Gold,11,0.159,13.11,5.17,18.28,control,0,27.86
120,49,Male,Organic Search,Gold,14,0.22,4.35,15.58,19.93,treatment,1,41.92
121,37,Female,Referral,Silver,6,0.423,2.2,1.52,3.72,treatment,0,32.64
122,30,Female,Organic Search,Silver,9,0.33,13.47,5.12,18.59,treatment,1,51.28
123,47,Male,Organic Search,Basic,4,0.021,8.64,14.74,23.38,treatment,1,42.86
124,51,Female,Organic Search,Gold,13,0.342,22.21,2.86,25.07,treatment,0,55.56
125,45,Male,Influencer,Gold,14,0.158,16.44,25.96,42.4,treatment,1,99.42
126,46,Female,Social Ads,Gold,19,0.045,21.27,1.98,23.25,control,0,25.83
127,49,Female,Organic Search,Silver,9,0.106,12.42,0.89,13.31,control,0,13.47
128,37,Male,Organic Search,Silver,14,0.011,16.81,18.74,35.55,control,0,15.8
129,27,Male,Influencer,Silver,12,0.117,2.62,10.14,12.76,treatment,0,47.64
130,32,Male,Social Ads,Basic,2,0.111,10.98,7.43,18.41,control,0,18.13
131,38,Female,Organic Search,Basic,2,0.021,3.82,7.32,11.14,control,0,14.59
132,33,Male,Organic Search,Silver,10,0.141,3.54,2.13,5.67,control,0,9.72
133,36,Male,Referral,Basic,6,0.402,16.46,8.41,24.87,treatment,0,53.7
134,39,Male,Influencer,Basic,4,0.145,11.11,7.47,18.58,treatment,0,21.77
135,58,Female,Influencer,Silver,17,0.041,12.23,7.0,19.23,control,1,74.2
136,28,Female,Organic Search,Gold,17,0.059,2.66,7.65,10.31,treatment,0,36.8
137,42,Female,Social Ads,Silver,6,0.113,4.99,10.46,15.45,treatment,0,23.97
138,27,Female,Referral,Silver,5,0.111,3.97,1.5,5.47,control,1,31.83
139,46,Female,Influencer,Gold,16,0.046,11.18,3.25,14.43,treatment,1,55.7
140,39,Male,Referral,Basic,3,0.143,6.16,9.42,15.58,treatment,1,47.03
141,42,Female,Social Ads,Basic,2,0.118,3.75,17.8,21.55,treatment,0,26.68
142,28,Male,Social Ads,Basic,6,0.371,0.92,3.14,4.06,treatment,0,23.87
143,31,Male,Social Ads,Basic,7,0.098,9.03,1.47,10.5,control,1,23.76
144,49,Female,Organic Search,Basic,5,0.174,7.33,6.14,13.47,treatment,0,35.95
145,44,Male,Social Ads,Basic,4,0.112,14.75,0.56,15.31,control,0,17.91
146,29,Male,Referral,Basic,4,0.234,11.06,1.38,12.44,control,0,33.36
147,53,Female,Organic Search,Basic,7,0.114,4.7,4.84,9.54,control,0,19.79
148,39,Female,Referral,Silver,11,0.252,14.6,6.91,21.51,treatment,0,73.51
149,48,Male,Social Ads,Basic,13,0.172,13.35,14.92,28.27,treatment,0,20.1
150,45,Male,Organic Search,Basic,6,0.161,4.73,0.37,5.1,control,0,32.59
151,60,Female,Social Ads,Gold,16,0.37,3.58,5.39,8.97,control,0,60.84
152,60,Male,Referral,Basic,7,0.047,4.73,15.38,20.11,treatment,0,20.09
153,60,Female,Social Ads,Basic,5,0.118,10.87,13.54,24.41,treatment,0,19.29
154,36,Female,Organic Search,Silver,8,0.303,26.77,1.52,28.29,control,0,21.0
155,57,Female,Organic Search,Basic,13,0.085,31.87,7.72,39.59,control,0,15.69
156,34,Male,Referral,Gold,10,0.193,4.83,11.59,16.42,control,1,29.3
157,45,Male,Social Ads,Basic,4,0.246,1.4,1.45,2.85,control,0,21.83
158,45,Female,Influencer,Basic,4,0.036,13.53,15.9,29.43,treatment,0,61.27
159,54,Female,Organic Search,Silver,15,0.101,15.34,5.25,20.59,control,0,18.38
160,32,Male,Influencer,Basic,6,0.238,20.09,2.99,23.08,treatment,0,39.38
161,33,Female,Social Ads,Silver,6,0.103,1.13,0.97,2.1,treatment,0,24.84
162,41,Female,Organic Search,Gold,14,0.027,8.03,2.87,10.9,treatment,1,40.85
163,61,Male,Influencer,Basic,7,0.037,5.98,18.85,24.83,treatment,1,37.41
164,69,Male,Referral,Basic,4,0.212,5.67,4.1,9.77,control,0,22.45
165,40,Female,Social Ads,Basic,3,0.107,6.42,0.89,7.31,treatment,0,16.91
166,27,Female,Referral,Basic,6,0.158,17.3,7.45,24.75,treatment,0,94.32
167,26,Male,Organic Search,Basic,4,0.037,18.52,2.39,20.91,control,0,14.74
168,34,Male,Influencer,Basic,2,0.041,14.55,8.57,23.12,treatment,0,21.46
169,35,Male,Social Ads,Basic,3,0.141,16.31,1.86,18.17,control,0,10.5
170,25,Female,Referral,Silver,16,0.038,2.65,1.47,4.12,control,0,16.1
171,56,Male,Social Ads,Silver,8,0.193,13.73,4.88,18.61,control,0,21.54
172,48,Female,Influencer,Gold,10,0.011,3.09,6.24,9.33,control,0,35.65
173,52,Female,Organic Search,Gold,10,0.196,1.59,9.66,11.25,treatment,0,27.1
174,56,Male,Organic Search,Silver,17,0.241,5.11,3.12,8.23,treatment,1,36.98
175,29,Female,Organic Search,Basic,2,0.065,4.65,9.98,14.63,treatment,1,38.93
176,22,Female,Organic Search,Silver,6,0.092,10.01,13.12,23.13,treatment,0,33.91
177,41,Male,Organic Search,Basic,8,0.068,11.59,0.34,11.93,treatment,0,28.88
178,32,Female,Influencer,Basic,3,0.049,3.45,11.34,14.79,treatment,0,30.06
179,46,Female,Organic Search,Silver,13,0.131,6.94,10.35,17.29,treatment,1,28.24
180,41,Female,Social Ads,Basic,5,0.106,4.78,0.82,5.6,treatment,1,16.56
181,62,Male,Organic Search,Basic,3,0.159,8.36,4.03,12.39,treatment,0,33.77
182,41,Male,Referral,Basic,4,0.089,11.05,9.92,20.97,treatment,0,36.11
183,41,Female,Influencer,Silver,7,0.08,8.03,6.48,14.51,treatment,1,22.82
184,45,Female,Organic Search,Basic,11,0.182,8.27,6.95,15.22,control,1,33.28
185,55,Male,Referral,Gold,20,0.12,26.3,2.39,28.69,treatment,1,95.69
186,38,Female,Influencer,Silver,13,0.295,3.97,7.11,11.08,treatment,1,20.64
187,35,Female,Social Ads,Basic,4,0.049,11.79,17.6,29.39,control,0,21.56
188,61,Male,Organic Search,Basic,11,0.111,2.18,2.18,4.36,treatment,0,22.31
189,37,Male,Social Ads,Silver,6,0.382,10.44,3.61,14.05,control,0,19.9
190,49,Male,Social Ads,Silver,12,0.146,1.57,5.23,6.8,control,0,16.28
191,30,Female,Social Ads,Gold,12,0.133,1.9,13.03,14.93,treatment,0,40.29
192,54,Male,Referral,Basic,15,0.09,24.74,2.74,27.48,control,0,40.72
193,19,Male,Organic Search,Gold,10,0.177,17.25,5.4,22.65,treatment,0,28.45
194,40,Female,Social Ads,Silver,7,0.281,13.65,8.48,22.13,control,0,26.34
195,35,Female,Organic Search,Basic,4,0.245,15.49,4.5,19.99,control,0,16.38
196,40,Male,Social Ads,Silver,7,0.315,9.7,9.24,18.94,treatment,1,27.61
197,22,Male,Organic Search,Silver,15,0.073,17.91,13.42,31.33,control,0,29.33
198,22,Female,Social Ads,Basic,7,0.288,2.58,4.11,6.69,control,0,24.64
199,77,Female,Referral,Basic,2,0.067,12.16,5.46,17.62,treatment,1,42.2
200,34,Male,Referral,Basic,6,0.124,10.65,3.33,13.98,control,0,23.85
201,53,Male,Organic Search,Basic,7,0.055,4.69,3.72,8.41,control,0,24.76
202,43,Female,Social Ads,Basic,3,0.066,14.33,1.6,15.93,control,0,19.06
203,40,Female,Referral,Basic,5,0.064,15.5,0.81,16.31,treatment,0,19.27
204,39,Female,Social Ads,Gold,10,0.303,14.73,2.87,17.6,control,0,21.09
205,41,Male,Social Ads,Basic,7,0.134,4.03,9.71,13.74,treatment,0,16.54
206,36,Female,Referral,Silver,9,0.106,14.84,5.16,20.0,treatment,0,41.49
207,42,Female,Organic Search,Basic,4,0.167,23.22,3.85,27.07,control,0,26.53
208,42,Female,Referral,Basic,7,0.161,14.15,1.83,15.98,control,1,34.52
209,57,Male,Influencer,Basic,3,0.284,20.45,1.21,21.66,control,0,36.01
210,47,Female,Organic Search,Basic,7,0.226,22.6,7.27,29.87,control,0,36.22
211,36,Female,Organic Search,Silver,17,0.053,9.87,2.67,12.54,control,0,37.79
212,43,Male,Referral,Silver,8,0.186,15.4,2.3,17.7,treatment,0,79.68
213,37,Male,Social Ads,Silver,11,0.099,22.96,3.45,26.41,treatment,0,50.63
214,18,Female,Social Ads,Basic,4,0.179,15.76,8.62,24.38,treatment,0,53.08
215,43,Male,Social Ads,Silver,12,0.089,6.51,5.81,12.32,treatment,0,12.35
216,37,Male,Organic Search,Silver,12,0.282,18.81,17.78,36.59,control,1,25.87
217,54,Male,Influencer,Gold,15,0.304,17.97,1.0,18.97,control,0,69.26
218,53,Male,Social Ads,Silver,12,0.133,8.82,2.13,10.95,treatment,0,32.2
219,44,Male,Organic Search,Silver,9,0.144,3.93,1.82,5.75,control,0,24.79
220,50,Female,Social Ads,Basic,15,0.435,3.83,5.83,9.66,control,1,27.12
221,27,Female,Referral,Silver,15,0.17,14.62,14.88,29.5,treatment,0,25.79
222,39,Female,Social Ads,Basic,3,0.068,14.12,7.6,21.72,treatment,0,25.04
223,50,Female,Organic Search,Basic,13,0.066,21.8,18.01,39.81,control,0,38.82
224,45,Male,Referral,Basic,7,0.146,10.5,2.39,12.89,control,0,17.89
225,29,Female,Organic Search,Silver,8,0.117,7.35,6.04,13.39,treatment,0,40.6
226,59,Male,Social Ads,Silver,9,0.06,5.52,3.7,9.22,control,0,15.88
227,33,Male,Referral,Silver,18,0.024,2.22,5.42,7.64,control,0,25.98
228,33,Female,Social Ads,Silver,19,0.11,12.14,3.44,15.58,treatment,0,55.43
229,55,Female,Referral,Basic,5,0.108,9.15,7.43,16.58,control,1,26.38
230,42,Female,Organic Search,Silver,13,0.123,7.72,0.74,8.46,control,0,51.95
231,45,Female,Organic Search,Basic,3,0.135,29.82,3.21,33.03,treatment,0,45.3
232,48,Male,Social Ads,Basic,6,0.395,8.35,0.99,9.34,treatment,1,28.68
233,54,Female,Organic Search,Basic,4,0.049,5.85,3.77,9.62,control,0,16.71
234,41,Male,Influencer,Silver,8,0.218,12.01,11.11,23.12,control,0,33.6
235,26,Male,Influencer,Silver,7,0.196,8.56,2.25,10.81,treatment,0,24.68
236,50,Male,Organic Search,Basic,11,0.03,6.68,2.21,8.89,control,0,22.62
237,45,Female,Organic Search,Silver,14,0.23,3.16,9.24,12.4,treatment,1,38.86
238,28,Female,Influencer,Basic,14,0.137,3.67,10.14,13.81,control,1,73.29
239,42,Female,Organic Search,Basic,6,0.161,11.66,9.15,20.81,treatment,0,15.34
240,41,Male,Organic Search,Silver,15,0.128,10.39,14.97,25.36,control,1,52.82
241,38,Female,Social Ads,Gold,15,0.127,22.71,2.34,25.05,control,1,76.34
242,56,Male,Referral,Basic,5,0.199,8.04,12.28,20.32,control,0,18.28
243,36,Female,Organic Search,Gold,16,0.285,3.18,11.24,14.42,treatment,0,60.61
244,37,Male,Social Ads,Basic,8,0.118,7.35,4.29,11.64,treatment,0,21.83
245,41,Female,Organic Search,Basic,7,0.146,14.65,5.64,20.29,treatment,1,37.83
246,29,Male,Organic Search,Basic,2,0.049,6.39,11.9,18.29,treatment,0,18.6
247,49,Male,Social Ads,Basic,3,0.2,8.12,7.44,15.56,control,0,21.96
248,54,Male,Social Ads,Basic,7,0.115,11.07,3.57,14.64,control,0,18.31
249,54,Female,Referral,Basic,15,0.2,14.24,2.48,16.72,treatment,0,39.77
250,21,Male,Influencer,Silver,5,0.015,7.69,1.66,9.35,treatment,1,27.6
251,21,Female,Organic Search,Basic,3,0.073,9.19,3.68,12.87,treatment,0,21.13
252,39,Male,Social Ads,Basic,2,0.07,7.33,14.21,21.54,control,0,12.45
253,23,Male,Organic Search,Basic,10,0.238,4.49,3.11,7.6,treatment,0,43.29
254,28,Male,Organic Search,Gold,12,0.085,5.12,0.79,5.91,treatment,0,34.87
255,40,Female,Organic Search,Basic,4,0.103,7.27,2.73,10.0,treatment,0,46.26
256,36,Female,Social Ads,Silver,10,0.134,14.53,8.86,23.39,treatment,1,33.97
257,29,Female,Influencer,Basic,17,0.294,18.51,0.55,19.06,treatment,0,288.44
258,41,Male,Organic Search,Silver,10,0.04,4.76,4.81,9.57,control,0,33.12
259,26,Male,Organic Search,Gold,21,0.156,24.48,1.83,26.31,treatment,1,50.63
260,28,Male,Referral,Silver,4,0.241,10.27,7.59,17.86,control,0,35.74
261,38,Female,Social Ads,Gold,13,0.081,9.33,0.8,10.13,treatment,0,31.49
262,43,Female,Referral,Silver,6,0.136,10.4,2.65,13.05,treatment,0,26.45
263,46,Female,Social Ads,Basic,5,0.179,5.44,15.38,20.82,control,0,30.45
264,18,Female,Influencer,Silver,9,0.023,9.87,15.21,25.08,treatment,0,46.55
265,31,Male,Organic Search,Basic,3,0.027,5.61,5.69,11.3,control,0,20.16
266,57,Female,Referral,Basic,4,0.104,2.68,0.01,2.69,control,0,26.69
267,44,Male,Social Ads,Basic,11,0.441,21.72,0.69,22.41,control,0,18.82
268,46,Female,Social Ads,Basic,4,0.223,6.63,2.06,8.69,control,0,17.9
269,18,Female,Influencer,Basic,6,0.034,10.55,4.5,15.05,treatment,0,24.16
270,47,Male,Influencer,Silver,8,0.215,8.16,1.69,9.85,control,0,31.38
271,47,Female,Social Ads,Silver,10,0.195,11.38,2.59,13.97,control,0,18.65
272,34,Male,Organic Search,Basic,6,0.299,14.02,7.37,21.39,control,0,39.14
273,61,Male,Influencer,Basic,6,0.31,30.42,10.44,40.86,control,0,33.12
274,48,Male,Influencer,Gold,16,0.104,24.49,0.66,25.15,control,1,42.57
275,49,Female,Referral,Silver,15,0.061,7.92,7.92,15.84,control,0,27.66
276,59,Female,Social Ads,Silver,10,0.272,11.84,0.56,12.4,treatment,0,36.66
277,37,Female,Organic Search,Gold,14,0.286,10.31,9.11,19.42,treatment,0,39.64
278,39,Male,Social Ads,Basic,6,0.168,7.18,4.19,11.37,control,0,16.49
279,41,Male,Organic Search,Basic,7,0.218,1.63,7.7,9.33,control,0,21.66
280,42,Male,Social Ads,Basic,4,0.14,4.19,1.54,5.73,treatment,1,23.43
281,50,Male,Social Ads,Basic,8,0.02,8.63,11.84,20.47,control,0,15.11
282,27,Female,Social Ads,Silver,5,0.297,1.35,2.72,4.07,treatment,0,64.14
283,41,Female,Referral,Basic,3,0.139,11.85,29.58,41.43,treatment,0,33.42
284,37,Male,Social Ads,Basic,11,0.125,24.56,1.52,26.08,control,0,30.35
285,59,Male,Social Ads,Basic,7,0.122,6.65,1.22,7.87,treatment,0,14.13
286,20,Female,Organic Search,Gold,13,0.155,15.42,14.65,30.07,treatment,1,41.13
287,51,Female,Social Ads,Basic,3,0.125,25.77,6.13,31.9,treatment,0,28.28
288,40,Female,Organic Search,Basic,11,0.126,6.94,9.43,16.37,control,0,28.23
289,25,Female,Social Ads,Silver,6,0.095,4.83,3.76,8.59,control,0,13.77
290,32,Male,Organic Search,Gold,19,0.018,5.43,0.87,6.3,control,1,20.71
291,67,Female,Social Ads,Basic,4,0.229,7.08,4.91,11.99,control,0,35.22
292,54,Male,Social Ads,Silver,19,0.184,32.78,1.96,34.74,treatment,1,40.29
293,40,Female,Organic Search,Silver,9,0.191,9.46,2.91,12.37,treatment,0,24.84
294,36,Male,Organic Search,Basic,3,0.045,2.89,7.41,10.3,control,0,18.59
295,28,Male,Organic Search,Basic,6,0.181,14.87,3.47,18.34,control,1,29.15
296,40,Male,Organic Search,Silver,8,0.153,3.45,13.19,16.64,control,0,21.35
297,42,Male,Social Ads,Basic,6,0.264,9.75,2.4,12.15,control,0,54.78
298,28,Male,Social Ads,Basic,2,0.391,14.01,6.82,20.83,control,0,21.63
299,42,Male,Organic Search,Silver,5,0.236,8.09,4.04,12.13,treatment,0,31.99
300,42,Male,Organic Search,Gold,9,0.234,9.72,4.8,14.52,treatment,0,31.58
301,39,Female,Referral,Gold,16,0.311,17.14,1.37,18.51,treatment,1,42.7
302,25,Male,Referral,Silver,8,0.059,11.07,13.19,24.26,treatment,0,30.98
303,43,Female,Organic Search,Basic,8,0.278,7.01,2.45,9.46,control,0,34.92
304,39,Male,Influencer,Gold,10,0.077,1.64,10.89,12.53,control,0,20.13
305,48,Male,Influencer,Gold,12,0.092,7.56,17.62,25.18,control,0,32.57
306,46,Female,Social Ads,Basic,11,0.175,19.73,0.61,20.34,control,1,35.05
307,42,Female,Social Ads,Gold,15,0.263,3.07,14.89,17.96,treatment,0,29.27
308,44,Female,Social Ads,Silver,12,0.149,8.1,5.51,13.61,control,0,25.65
309,35,Male,Influencer,Basic,6,0.377,14.41,2.78,17.19,control,0,15.41
310,58,Male,Influencer,Silver,14,0.149,11.19,1.41,12.6,treatment,1,19.54
311,61,Female,Social Ads,Basic,5,0.25,8.31,14.76,23.07,control,1,21.98
312,50,Female,Organic Search,Silver,8,0.248,10.93,10.87,21.8,control,0,22.67
313,42,Male,Influencer,Basic,11,0.155,4.14,9.9,14.04,control,0,40.11
314,48,Female,Social Ads,Basic,4,0.376,20.23,2.87,23.1,treatment,0,26.02
315,49,Female,Organic Search,Basic,9,0.142,2.12,8.68,10.8,control,0,25.8
316,38,Female,Social Ads,Silver,7,0.153,4.52,6.28,10.8,treatment,0,26.74
317,68,Male,Social Ads,Basic,3,0.145,15.91,2.04,17.95,treatment,0,30.36
318,63,Male,Referral,Basic,3,0.257,10.7,1.27,11.97,control,0,51.62
